delivery_id,order_id,driver_id,vehicle_id,hub_id,dispatch_time,delivery_completed_at,delivery_status,route_distance_km,manual_route_override_count,proof_of_completion_missing,customer_rating_post_delivery,fuel_or_charge_cost,delivery_time_hours,customer_id,promised_window_hours,pickup_zone,dropoff_zone,delay_flag,has_complaint,has_incident
DL00011,O00202,D074,V117,H04,2024-02-02 03:09:00,,OnTime,13.85,0,0,4.36,15.17,0.0,C0449,1,South,West,False,1.0,1.0
DL00012,O01207,D051,V017,H05,2024-12-26 19:41:00,,Failed,16.96,3,0,4.04,16.98,0.0,C0197,6,Central,Riverside,False,0.0,0.0
DL00013,O01031,D105,V085,H04,2025-01-26 08:29:00,,OnTime,6.01,2,0,3.96,11.52,0.0,C0578,6,East,Central,False,0.0,1.0
DL00014,O00725,D102,V008,H05,2024-05-07 12:40:00,,OnTime,16.46,0,0,3.67,11.74,0.0,C0153,12,East,West,False,0.0,1.0
DL00015,O00394,D067,V056,H04,2024-08-16 22:47:00,2026-05-14 15:56:06,OnTime,26.58,3,0,4.47,21.64,15257.15,C0479,12,Airport,West,True,0.0,0.0
DL00016,O01220,D010,V091,H08,2025-06-12 01:47:00,,OnTime,18.25,1,0,5.0,12.61,0.0,C0006,6,West,Airport,False,0.0,1.0
DL00017,O01249,D002,V008,H05,2024-08-25 18:26:00,2026-05-14 05:42:06,Delayed,20.79,0,0,1.0,15.62,15035.27,C0572,1,Central,Riverside,True,0.0,0.0
DL00018,O00611,D011,V001,H01,2025-07-29 10:52:00,,OnTime,13.67,0,0,4.46,16.18,0.0,C0374,2,West,West,False,0.0,0.0
DL00019,O01167,D026,V004,H06,2024-06-25 23:58:00,,OnTime,16.35,4,0,4.97,13.97,0.0,C0336,6,Central,East,False,0.0,1.0
DL00020,O00054,D157,V065,H01,2025-03-29 12:59:00,,OnTime,24.31,0,0,4.15,12.61,0.0,C0478,4,North,North,False,0.0,0.0
DL00021,O00250,D117,V081,H08,2025-04-24 14:20:00,2026-05-14 20:52:54,OnTime,9.77,4,0,4.07,6.43,9246.55,C0300,24,Central,North,True,0.0,0.0
DL00022,O01027,D088,V011,H07,2025-08-24 00:21:00,,Failed,15.81,0,0,3.5,15.62,0.0,C0492,4,East,Central,False,0.0,0.0
DL00023,O00768,D046,V021,H08,2025-06-12 01:16:00,,OnTime,4.29,1,0,5.0,2.5,0.0,C0606,4,Central,West,False,0.0,0.0
DL00024,O01054,D045,V029,H02,2025-08-19 14:33:00,2026-05-14 11:44:36,OnTime,8.58,0,0,4.78,14.62,6429.19,C0216,4,South,Airport,True,0.0,0.0
DL00025,O00288,D130,V098,H04,2025-09-08 19:57:00,,OnTime,7.41,0,0,5.0,7.2,0.0,C0542,4,South,Central,False,0.0,0.0
DL00026,O00906,D092,V055,H04,2025-02-04 11:16:00,,Failed,14.27,2,0,2.23,10.04,0.0,C0480,24,West,Riverside,False,0.0,0.0
DL00027,O00827,D057,V054,H02,2024-01-01 03:20:00,2026-05-14 13:30:54,OnTime,13.27,0,0,4.15,9.05,20746.18,C0152,24,East,South,True,0.0,1.0
DL00028,O00087,D165,V022,H08,2024-11-12 15:52:00,2026-05-14 15:00:24,Delayed,15.53,2,0,2.7,13.05,13151.14,C0476,4,South,North,True,1.0,0.0
DL00029,O00723,D126,V086,H07,2024-05-15 06:49:00,,OnTime,9.43,1,0,3.72,8.72,0.0,C0075,1,North,Central,False,0.0,0.0
DL00030,O00780,D034,V068,H03,2024-06-16 18:57:00,2026-05-14 22:12:30,OnTime,7.71,1,0,4.1,16.42,16731.26,C0490,1,West,North,True,0.0,0.0
DL00031,O00830,D037,V061,H01,2025-07-23 23:32:00,2026-05-14 21:38:12,OnTime,12.06,0,0,4.1,14.98,7078.1,C0347,2,South,South,True,0.0,0.0
DL00032,O00010,D045,V010,H08,2025-01-29 02:58:00,,OnTime,15.58,1,0,4.23,13.75,0.0,C0171,6,South,North,False,0.0,1.0
DL00033,O00885,D041,V075,H06,2024-11-17 14:01:00,,Failed,11.72,0,1,4.13,18.12,0.0,C0338,24,Riverside,Central,False,0.0,0.0
DL00034,O01081,D157,V110,H04,2025-06-18 12:01:00,2026-05-14 14:57:06,Delayed,14.68,0,0,4.4,9.44,7922.94,C0581,2,West,Airport,True,0.0,0.0
DL00035,O00275,D015,V038,H07,2025-05-21 21:35:00,,OnTime,22.05,0,0,4.96,14.78,0.0,C0473,6,South,East,False,0.0,0.0
DL00036,O00652,D158,V106,H06,2024-11-08 22:14:00,2026-05-14 09:13:00,OnTime,15.77,1,0,4.35,13.68,13234.98,C0331,4,South,West,True,1.0,1.0
DL00037,O00185,D010,V113,H05,2025-05-15 02:24:00,2026-05-14 10:07:42,OnTime,23.49,1,0,4.21,11.21,8743.73,C0482,24,East,Central,True,0.0,0.0
DL00038,O00727,D096,V002,H02,2025-10-26 15:31:00,,Failed,8.82,2,0,3.43,13.21,0.0,C0499,2,South,South,False,0.0,1.0
DL00039,O00542,D090,V034,H08,2025-07-26 15:58:00,2026-05-14 22:45:42,Failed,17.13,1,0,2.51,16.3,7014.8,C0504,4,Central,East,True,0.0,0.0
DL00040,O00919,D027,V036,H04,2025-02-01 08:38:00,2026-05-14 04:35:18,Failed,9.53,1,0,1.68,11.11,11203.96,C0619,4,Riverside,North,True,1.0,0.0
DL00041,O00750,D100,V057,H08,2024-02-01 08:58:00,,Failed,15.88,3,1,2.94,13.19,0.0,C0368,6,North,South,False,1.0,0.0
DL00042,O00009,D146,V020,H01,2024-10-04 01:05:00,,OnTime,12.02,0,0,4.45,11.41,0.0,C0141,12,North,East,False,0.0,1.0
DL00043,O00453,D110,V039,H07,2024-12-04 15:46:00,,OnTime,11.94,0,0,4.24,11.81,0.0,C0224,6,South,West,False,1.0,0.0
DL00044,O00147,D049,V020,H01,2024-07-12 09:47:00,2026-05-14 20:42:54,OnTime,4.63,0,0,4.34,12.87,16114.93,C0096,6,North,West,True,1.0,0.0
DL00045,O00924,D157,V051,H08,2025-11-07 00:32:00,2026-05-14 03:01:36,OnTime,10.61,1,0,5.0,14.13,4514.49,C0139,24,West,Ctr,True,0.0,0.0
DL00046,O00101,D088,V046,H05,2025-10-30 07:35:00,,OnTime,5.53,2,0,3.09,11.27,0.0,C0633,24,West,West,False,0.0,0.0
DL00047,O00263,D045,V091,H06,2024-02-19 04:07:00,,OnTime,16.33,0,0,5.0,10.25,0.0,C0031,2,West,Central,False,1.0,0.0
DL00048,O00358,D045,V093,H05,2024-03-20 13:40:00,2026-05-14 11:50:54,Delayed,7.37,0,0,3.33,14.67,18838.18,C0273,4,Riverside,Central,True,0.0,0.0
DL00049,O01076,D091,V018,H02,2024-09-29 01:23:00,,OnTime,12.55,0,0,3.52,6.93,0.0,C0035,6,South,Airport,False,0.0,0.0
DL00050,O00534,D065,V046,H06,2025-09-05 05:03:00,,OnTime,26.85,0,0,5.0,14.34,0.0,C0159,2,Airport,Ctr,False,0.0,1.0
DL00051,O00785,D150,V055,H07,2025-12-31 17:27:00,2026-05-14 05:52:24,OnTime,8.02,0,0,4.31,14.59,3204.42,C0378,4,East,Central,True,0.0,0.0
DL00052,O00554,D168,V020,H08,2025-05-06 10:37:00,,Delayed,26.38,1,1,2.52,24.54,0.0,C0117,2,Airport,Riverside,False,0.0,1.0
DL00053,O00302,D018,V099,H01,2025-07-10 18:38:00,2026-05-14 06:29:36,OnTime,14.14,0,0,3.63,10.32,7379.86,C0558,24,Riverside,Central,True,0.0,0.0
DL00054,O01044,D117,V079,H01,2025-02-14 07:41:00,,Delayed,29.8,1,0,4.7,22.28,0.0,C0190,12,Airport,Riverside,False,0.0,0.0
DL00055,O00819,D069,V018,H04,2025-04-28 21:37:00,,Delayed,35.07,5,1,2.78,22.2,0.0,C0098,4,Airport,West,False,0.0,0.0
DL00056,O00698,D137,V081,H08,2024-10-22 21:45:00,2026-05-14 00:19:18,OnTime,13.46,2,0,4.01,6.52,13634.57,C0550,2,South,Central,True,0.0,1.0
DL00057,O00921,D141,V077,H04,2024-12-09 10:53:00,2026-05-14 18:39:48,Failed,10.91,0,0,1.22,6.59,12511.78,C0448,4,East,Central,True,0.0,1.0
DL00058,O01062,D125,V082,H02,2024-10-26 18:46:00,2026-05-14 22:57:54,OnTime,15.33,0,0,5.0,7.95,13564.2,C0559,4,East,Central,True,0.0,0.0
DL00059,O00521,D027,V088,H05,2025-11-26 14:07:00,,Delayed,36.28,3,0,3.11,17.45,0.0,C0109,1,Airport,South,False,0.0,0.0
DL00060,O00236,D005,V026,H02,2024-11-26 16:01:00,,Delayed,13.92,1,1,2.35,9.48,0.0,C0429,2,East,South,False,0.0,0.0
DL00061,O00635,D083,V059,H08,2024-12-06 06:18:00,2026-05-14 02:21:30,OnTime,10.51,1,0,3.8,10.6,12572.06,C0314,2,Central,North,True,0.0,0.0
DL00062,O00567,D061,V007,H02,2024-02-24 16:31:00,,OnTime,1.2,0,0,5.0,7.32,0.0,C0144,24,South,Riverside,False,0.0,1.0
DL00063,O00931,D154,V094,H03,2024-03-07 11:20:00,2026-05-14 02:37:54,OnTime,15.95,0,0,5.0,14.6,19143.3,C0213,4,North,North,True,1.0,0.0
DL00064,O01236,D075,V004,H03,2025-05-30 00:35:00,,Delayed,10.36,0,0,2.34,7.13,0.0,C0543,12,South,Airport,False,1.0,0.0
DL00065,O01234,D050,V065,H01,2024-02-24 01:55:00,,OnTime,1.67,1,0,4.63,6.2,0.0,C0163,2,West,North,False,0.0,0.0
DL00066,O00568,D118,V083,H01,2025-12-19 20:41:00,2026-05-14 15:32:48,OnTime,22.39,0,0,4.03,18.25,3498.86,C0412,6,Central,Riverside,True,0.0,0.0
DL00067,O00842,D152,V023,H01,2025-07-04 04:43:00,,OnTime,12.34,1,0,4.61,11.04,0.0,C0588,12,Central,East,False,0.0,0.0
DL00068,O00828,D104,V046,H08,2024-02-19 15:15:00,,Failed,19.75,1,0,3.73,16.14,0.0,C0025,24,West,West,False,0.0,1.0
DL00069,O01039,D010,V074,H07,2025-05-01 11:46:00,,Failed,16.76,1,0,4.17,10.73,0.0,C0171,6,West,Riverside,False,1.0,0.0
DL00070,O00370,D018,V036,H07,2024-11-21 18:37:00,,OnTime,16.35,0,0,4.64,18.11,0.0,C0021,4,South,South,False,0.0,0.0
DL00071,O00796,D093,V080,H02,2025-01-28 06:57:00,,Delayed,20.37,1,0,3.57,18.14,0.0,C0385,6,Ctr,North,False,0.0,0.0
DL00072,O00402,D110,V027,H05,2025-11-20 06:20:00,2026-05-14 21:38:36,Delayed,28.51,0,0,3.28,15.11,4215.31,C0104,4,West,East,True,0.0,1.0
DL00073,O00421,D141,V092,H08,2025-07-23 07:06:00,,OnTime,19.34,3,0,4.68,17.54,0.0,C0599,24,Riverside,East,False,1.0,1.0
DL00074,O01195,D030,V092,H04,2025-01-04 08:41:00,2026-05-14 01:18:48,Failed,17.61,1,0,4.42,14.79,11872.63,C0529,2,Airport,Central,True,0.0,0.0
DL00075,O01239,D169,V047,H02,2024-08-06 04:24:00,2026-05-14 22:04:18,OnTime,13.25,3,0,3.24,11.94,15521.67,C0392,2,South,West,True,0.0,1.0
DL00076,O00815,D120,V004,H01,2024-02-25 17:02:00,,OnTime,27.51,3,0,5.0,15.16,0.0,C0347,24,Airport,Airport,False,0.0,0.0
DL00077,O01040,D094,V067,H04,2025-12-27 22:16:00,,Delayed,32.97,3,0,2.81,18.07,0.0,C0290,4,Airport,Central,False,0.0,0.0
DL00078,O00173,D144,V088,H02,2025-02-18 08:26:00,,Failed,10.92,1,0,2.87,9.05,0.0,C0371,2,Ctr,Central,False,0.0,0.0
DL00079,O00920,D009,V102,H08,2024-08-01 12:06:00,,OnTime,7.18,0,0,4.91,12.79,0.0,C0242,12,Riverside,East,False,1.0,0.0
DL00080,O01137,D030,V022,H04,2025-10-14 08:21:00,,OnTime,16.29,0,0,4.42,14.17,0.0,C0213,2,South,Central,False,0.0,1.0
DL00081,O00716,D166,V056,H04,2024-10-22 06:38:00,2026-05-14 18:42:36,Delayed,9.77,1,1,3.58,12.68,13668.08,C0072,6,East,North,True,0.0,0.0
DL00082,O00669,D008,V048,H03,2025-07-15 15:38:00,,OnTime,3.98,1,0,4.76,5.86,0.0,C0529,12,North,East,False,0.0,0.0
DL00083,O00451,D053,V043,H05,2025-02-15 18:28:00,,Delayed,2.13,0,0,1.44,11.27,0.0,C0012,12,East,Riverside,False,0.0,0.0
DL00084,O00784,D063,V117,H05,2025-03-07 03:24:00,,Failed,6.83,0,0,3.63,9.07,0.0,C0308,12,East,South,False,0.0,0.0
DL00085,O00160,D127,V032,H06,2024-08-20 19:18:00,,OnTime,9.49,5,0,3.85,16.32,0.0,C0478,6,Central,East,False,0.0,0.0
DL00086,O01013,D159,V063,H02,2025-08-22 17:32:00,,OnTime,17.4,0,0,3.75,12.23,0.0,C0185,4,Ctr,North,False,0.0,0.0
DL00087,O00630,D034,V099,H07,2025-03-28 15:08:00,,OnTime,17.98,0,0,4.11,13.23,0.0,C0369,2,Central,Ctr,False,0.0,0.0
DL00088,O00657,D088,V043,H04,2024-02-28 23:43:00,2026-05-14 16:11:24,OnTime,5.99,0,0,4.43,2.5,19336.47,C0135,6,South,Central,True,0.0,0.0
DL00089,O00241,D010,V112,H03,2025-04-01 15:27:00,,Failed,8.27,0,0,2.56,6.94,0.0,C0117,2,West,North,False,0.0,1.0
DL00090,O01097,D027,V065,H04,2024-07-14 23:21:00,2026-05-14 00:31:48,OnTime,33.86,3,0,4.76,24.2,16033.18,C0390,12,Airport,North,True,0.0,0.0
DL00091,O00941,D116,V044,H04,2024-08-12 15:04:00,,OnTime,14.47,0,0,5.0,10.57,0.0,C0571,1,West,West,False,1.0,0.0
DL00092,O00736,D105,V016,H01,2024-01-25 00:39:00,,OnTime,7.66,1,0,4.72,8.17,0.0,C0390,12,Central,East,False,1.0,0.0
DL00093,O00579,D028,V032,H05,2025-09-05 12:14:00,,OnTime,19.68,3,0,3.69,18.64,0.0,C0624,4,Airport,South,False,0.0,0.0
DL00094,O01026,D034,V012,H04,2025-05-26 22:56:00,,Delayed,4.66,0,0,3.72,16.6,0.0,C0309,1,West,Ctr,False,0.0,1.0
DL00095,O00416,D031,V005,H08,2024-01-07 23:00:00,,OnTime,28.69,1,0,5.0,13.48,0.0,C0552,2,Airport,Airport,False,0.0,1.0
DL00096,O00961,D077,V110,H01,2025-03-18 16:23:00,,Delayed,1.2,0,0,3.24,2.61,0.0,C0307,4,Ctr,Airport,False,0.0,1.0
DL00097,O00794,D170,V109,H07,2024-07-16 22:51:00,,Failed,10.54,1,0,3.58,3.56,0.0,C0415,12,Central,Airport,False,0.0,1.0
DL00098,O00631,D004,V072,H07,2025-07-05 09:16:00,,Failed,3.86,1,0,4.43,15.58,0.0,C0574,2,South,Riverside,False,0.0,0.0
DL00099,O00835,D127,V093,H01,2024-05-26 18:57:00,,OnTime,5.6,2,0,4.75,13.26,0.0,C0317,6,South,Airport,False,0.0,0.0
DL00100,O00205,D120,V097,H05,2025-02-05 16:42:00,2026-05-14 09:53:42,Failed,8.64,0,0,3.14,13.47,11105.2,C0246,6,North,South,True,0.0,0.0
DL00101,O00354,D141,V115,H06,2025-12-02 18:06:00,2026-05-14 18:47:00,OnTime,21.63,0,0,4.12,14.3,3912.68,C0154,2,East,Riverside,True,0.0,0.0
DL00102,O00578,D031,V022,H02,2024-03-04 09:56:00,,Delayed,9.18,0,0,3.08,11.31,0.0,C0639,4,Ctr,Central,False,0.0,0.0
DL00103,O00269,D004,V036,H04,2024-12-01 01:20:00,,Failed,6.26,2,0,2.24,9.31,0.0,C0175,6,North,Riverside,False,0.0,0.0
DL00104,O00390,D102,V111,H06,2024-03-06 12:50:00,2026-05-14 08:19:06,OnTime,8.75,0,0,4.45,7.5,19171.48,C0150,6,North,North,True,0.0,0.0
DL00105,O00596,D020,V043,H01,2025-10-02 04:09:00,,OnTime,18.52,0,0,3.73,20.45,0.0,C0394,12,South,East,False,0.0,0.0
DL00106,O00039,D040,V015,H05,2025-08-01 08:30:00,2026-05-14 18:45:00,OnTime,18.02,0,0,4.92,15.57,6874.25,C0351,6,East,Riverside,True,0.0,0.0
DL00107,O00175,D120,V074,H05,2025-12-19 20:22:00,,OnTime,6.47,1,0,4.69,8.8,0.0,C0562,4,Riverside,West,False,1.0,0.0
DL00108,O00620,D084,V009,H06,2024-11-08 01:38:00,2026-05-14 02:54:48,OnTime,13.73,1,0,4.73,17.52,13249.28,C0467,2,South,West,True,0.0,1.0
DL00109,O00019,D014,V083,H05,2024-03-31 09:02:00,2026-05-14 20:28:54,OnTime,16.7,1,0,3.52,16.91,18587.45,C0425,6,North,Central,True,0.0,0.0
DL00110,O00045,D024,V042,H03,2024-02-13 21:24:00,2026-05-14 15:37:24,OnTime,14.39,1,0,4.74,8.64,19698.22,C0326,6,South,Airport,True,1.0,0.0
DL00111,O00105,D081,V090,H06,2024-07-09 23:17:00,,OnTime,18.8,0,0,5.0,20.02,0.0,C0070,4,North,East,False,1.0,0.0
DL00112,O00848,D068,V049,H05,2025-06-03 14:51:00,,OnTime,10.88,3,0,3.68,8.03,0.0,C0489,6,North,South,False,1.0,0.0
DL00113,O00607,D072,V083,H05,2025-08-30 19:15:00,,OnTime,7.42,0,0,2.94,15.7,0.0,C0576,12,West,West,False,0.0,0.0
DL00114,O01196,D074,V114,H02,2024-04-12 03:31:00,,Delayed,16.99,0,0,2.62,19.44,0.0,C0109,4,South,East,False,0.0,0.0
DL00115,O01132,D030,V116,H04,2025-05-04 01:04:00,,OnTime,18.75,1,0,4.35,8.08,0.0,C0588,2,South,Riverside,False,0.0,0.0
DL00116,O00121,D023,V047,H06,2025-10-14 13:45:00,2026-05-14 06:51:42,Delayed,19.9,0,0,2.92,21.64,5081.11,C0604,6,East,North,True,0.0,1.0
DL00117,O00559,D080,V119,H06,2025-04-24 08:49:00,,Delayed,11.84,0,1,2.46,17.91,0.0,C0167,12,North,East,False,0.0,0.0
DL00118,O00660,D143,V004,H01,2024-06-05 01:27:00,2026-05-14 05:09:42,Failed,11.45,3,0,2.16,8.94,16995.71,C0288,4,Central,Airport,True,0.0,0.0
DL00119,O01011,D076,V037,H03,2024-02-28 07:57:00,,Failed,32.37,3,0,1.71,25.09,0.0,C0257,12,Airport,South,False,0.0,0.0
DL00120,O00007,D128,V047,H06,2024-05-05 22:10:00,2026-05-14 05:17:36,Delayed,9.07,1,1,3.93,9.76,17719.13,C0001,2,Central,Airport,True,1.0,0.0
DL00121,O00091,D078,V100,H05,2024-03-14 02:36:00,,OnTime,18.81,0,0,3.92,11.62,0.0,C0564,6,West,Airport,False,0.0,1.0
DL00122,O00434,D122,V092,H01,2025-10-25 21:25:00,2026-05-14 15:00:00,OnTime,29.52,4,0,4.63,10.56,4817.58,C0500,1,Airport,Riverside,True,0.0,0.0
DL00123,O00284,D030,V025,H04,2024-04-02 13:26:00,2026-05-14 11:28:12,OnTime,13.45,2,0,4.75,12.86,18526.04,C0363,24,North,Airport,True,0.0,0.0
DL00124,O00210,D113,V040,H05,2024-05-14 20:07:00,2026-05-14 02:59:06,OnTime,14.23,2,0,4.78,19.49,17502.87,C0347,4,East,West,True,0.0,0.0
DL00125,O00472,D021,V109,H05,2024-02-22 10:05:00,,OnTime,14.25,3,0,3.68,12.59,0.0,C0636,4,South,Riverside,False,0.0,0.0
DL00126,O00547,D159,V001,H07,2024-04-09 14:36:00,2026-05-14 11:28:06,Delayed,17.68,0,0,2.6,10.92,18356.87,C0640,24,Central,South,True,0.0,1.0
DL00127,O01072,D026,V099,H02,2024-10-05 00:19:00,2026-05-14 08:10:06,Delayed,16.56,2,0,2.12,11.9,14071.85,C0384,6,West,North,True,0.0,0.0
DL00128,O00868,D089,V099,H07,2024-05-18 16:31:00,,OnTime,9.43,0,0,4.47,10.47,0.0,C0037,4,Central,West,False,0.0,0.0
DL00129,O00425,D030,V078,H08,2024-11-27 08:41:00,2026-05-14 07:10:18,OnTime,21.27,3,0,5.0,11.59,12790.49,C0550,4,Airport,East,True,1.0,0.0
DL00130,O00400,D113,V042,H03,2025-06-20 08:41:00,,OnTime,17.1,0,0,3.87,13.53,0.0,C0426,6,North,East,False,1.0,0.0
DL00131,O00890,D037,V096,H07,2025-07-05 10:26:00,,OnTime,16.59,0,0,4.33,3.25,0.0,C0232,24,Central,East,False,0.0,1.0
DL00132,O00688,D058,V061,H03,2024-04-25 08:29:00,2026-05-14 02:10:06,OnTime,19.79,0,0,4.62,5.66,17969.69,C0332,6,North,West,True,0.0,0.0
DL00133,O00761,D083,V070,H03,2025-08-12 05:33:00,,OnTime,17.73,1,0,3.29,10.88,0.0,C0237,12,North,East,False,0.0,0.0
DL00134,O00334,D135,V071,H03,2024-05-23 12:01:00,,OnTime,13.27,0,0,3.88,7.63,0.0,C0500,4,Riverside,South,False,0.0,0.0
DL00135,O00225,D069,V075,H03,2025-07-28 04:31:00,2026-05-14 14:21:36,Failed,10.34,2,0,3.6,9.3,6969.84,C0290,1,Riverside,Riverside,True,0.0,1.0
DL00136,O00527,D032,V106,H06,2024-04-05 06:41:00,2026-05-14 08:14:12,OnTime,4.06,1,0,4.45,5.7,18457.55,C0203,6,South,Airport,True,0.0,0.0
DL00137,O01216,D053,V109,H07,2025-08-28 20:12:00,,Delayed,13.46,2,0,2.72,11.11,0.0,C0382,6,West,Airport,False,0.0,0.0
DL00138,O00705,D019,V071,H04,2025-09-09 22:58:00,2026-05-14 00:03:24,OnTime,11.23,2,0,4.75,15.22,5905.09,C0013,6,North,Riverside,True,0.0,0.0
DL00139,O01215,D140,V084,H05,2025-08-05 03:23:00,,OnTime,12.23,0,0,3.57,13.59,0.0,C0054,12,North,Airport,False,0.0,1.0
DL00140,O00656,D079,V050,H06,2025-01-08 00:27:00,,Delayed,15.69,0,1,2.23,11.96,0.0,C0211,6,West,North,False,0.0,0.0
DL00141,O00021,D166,V094,H04,2024-10-16 12:41:00,,OnTime,10.45,1,0,4.77,7.89,0.0,C0218,2,West,North,False,0.0,0.0
DL00142,O00612,D158,V016,H08,2025-05-19 20:32:00,,OnTime,4.04,2,0,3.27,15.78,0.0,C0169,4,West,East,False,0.0,0.0
DL00143,O00757,D026,V051,H04,2025-02-22 08:56:00,,Delayed,22.37,0,0,3.64,19.33,0.0,C0466,12,East,South,False,0.0,0.0
DL00144,O00170,D016,V016,H06,2024-06-24 09:02:00,,OnTime,25.98,4,0,4.84,27.38,0.0,C0005,4,Airport,Airport,False,0.0,0.0
DL00145,O00668,D155,V081,H06,2025-07-11 00:42:00,,OnTime,29.37,2,0,3.95,18.72,0.0,C0649,6,Airport,North,False,0.0,0.0
DL00146,O00058,D052,V094,H03,2025-12-16 06:56:00,,OnTime,22.04,0,0,4.37,6.16,0.0,C0083,2,South,East,False,0.0,0.0
DL00147,O01116,D123,V017,H06,2024-11-13 14:46:00,,OnTime,1.21,1,0,4.08,14.96,0.0,C0556,6,East,West,False,0.0,0.0
DL00148,O00817,D087,V120,H05,2025-12-31 09:02:00,2026-05-14 10:07:18,OnTime,16.75,1,0,4.04,15.84,3217.09,C0391,2,North,South,True,1.0,1.0
DL00149,O00789,D024,V099,H08,2024-12-11 13:03:00,,OnTime,5.74,2,0,3.83,3.72,0.0,C0201,6,Central,Riverside,False,1.0,0.0
DL00150,O01164,D083,V042,H07,2025-06-09 18:46:00,2026-05-14 04:10:54,Delayed,10.43,0,0,2.83,10.61,8121.42,C0530,4,Riverside,West,True,0.0,0.0
DL00151,O00376,D131,V048,H03,2025-01-21 09:34:00,2026-05-14 14:52:24,OnTime,12.77,1,0,4.77,10.12,11477.31,C0286,12,North,West,True,0.0,0.0
DL00152,O00146,D121,V047,H01,2025-10-10 01:22:00,2026-05-14 11:11:18,OnTime,3.02,0,0,4.71,8.34,5193.82,C0168,12,East,South,True,0.0,0.0
DL00153,O00893,D115,V007,H01,2024-08-05 08:55:00,2026-05-14 10:16:06,Failed,12.85,1,0,3.96,15.21,15529.35,C0391,2,South,South,True,0.0,1.0
DL00154,O00071,D018,V110,H08,2024-09-01 00:47:00,2026-05-14 07:26:18,Failed,7.04,1,0,4.2,5.23,14886.66,C0109,1,North,South,True,1.0,0.0
DL00155,O00061,D048,V052,H02,2024-07-12 03:31:00,,OnTime,24.74,1,0,4.46,18.46,0.0,C0289,6,Airport,North,False,0.0,0.0
DL00156,O01086,D100,V085,H08,2024-03-05 21:40:00,2026-05-14 03:18:42,Delayed,31.74,2,0,2.18,17.62,19181.64,C0276,4,Airport,South,True,0.0,0.0
DL00157,O01089,D144,V040,H06,2025-05-18 05:27:00,2026-05-14 03:36:36,OnTime,12.43,2,0,5.0,13.52,8662.16,C0035,2,Riverside,North,True,0.0,0.0
DL00158,O00643,D031,V072,H08,2025-04-10 19:05:00,,Delayed,29.34,3,0,3.8,15.45,0.0,C0349,1,Airport,Riverside,False,0.0,0.0
DL00159,O00213,D120,V020,H05,2024-12-05 20:07:00,2026-05-14 13:18:42,OnTime,11.73,0,0,5.0,21.25,12593.2,C0512,12,West,Riverside,True,0.0,0.0
DL00160,O00874,D108,V085,H04,2024-06-15 16:06:00,2026-05-14 00:31:48,OnTime,16.67,1,0,5.0,9.13,16736.43,C0360,6,East,West,True,0.0,0.0
DL00161,O00624,D055,V098,H01,2025-04-13 04:37:00,2026-05-14 10:40:18,OnTime,16.98,0,0,4.28,11.8,9510.06,C0117,24,West,Ctr,True,0.0,0.0
DL00162,O00854,D122,V071,H02,2024-09-01 04:30:00,2026-05-14 10:42:00,OnTime,25.94,0,0,4.84,11.4,14886.2,C0343,4,Airport,Airport,True,0.0,0.0
DL00163,O01007,D121,V056,H07,2024-09-24 08:50:00,,Delayed,9.31,0,0,2.51,8.76,0.0,C0556,12,Riverside,Riverside,False,0.0,0.0
